,arabizi,arabic,from_source
3177,3aliha,عليها,1
3178,elboutoula,البطولة,1
3179,ibn,ابن,1
3180,kes7a,كاسحة,1
3181,tekel,تتاكل,1
3182,hkouma,حكومة,1
3183,ta7ia,تحيا,1
3184,mimtek,ميمتك,1
3185,to5roj,تخرج,1
3186,hbel,هبل,1
3187,ma3mal,معمل,1
3188,lioum,ليوم,1
3189,3maltha,عملتها,1
3190,lmochkla,لمشكلة,1
3191,nizar,نزار,1
3192,jon,جون,1
3193,wbech,وباش,1
3194,majech,مجاش,1
3195,abd,عبد,1
3196,de5el,داخل,1
3197,leha,ليها,1
3198,mas5in,مسخين,1
3199,darhom,دارهم,1
3200,dayrin,دايرين,1
3201,edam,الدم,1
3202,ta3ya,تعيى,1
3203,lahin,لاهين,1
3204,moslem,مسلم,1
3205,3raft,عرفت,1
3206,ta7kou,تحكو,1
3207,ya7,يح,1
3208,5al,خال,1
3209,abtal,ابطال,1
3210,cha5s,شخص,1
3211,zeyda,زايدة,1
3212,wadi3,وديع,1
3213,kazi,كازي,1
3214,ye5dim,يخدم,1
3215,sra9,سرق,1
3216,97ba,قحبة,1
3217,dubai,دبي,1
3218,fout,فوت,1
3219,thin,طحين,1
3220,yabka,يبقى,1
3221,tahane,تهنا,1
3222,rouha,وحها,1
3223,lasad,لاسد,1
3224,chi5a,شيخة,1
3225,tonis,تونس,1
3226,n9olou,نقولو,1
3227,kawer,كور,1
3228,e7chem,احشم,1
3229,atef,عاطف,1
3230,mat7ebech,متحبش,1
3231,mase5,مسخ,1
3232,o9sem,اقسم,1
3233,fargha,فارغة,1
3234,ghada,غادة,1
3235,slaf,سلف,1
3236,akel,اكل,1
3237,nase,ناس,1
3238,fe3l,فعل,1
3239,slemtik,سلامتك,1
3240,wfa,وفا,1
3241,ma9hour,مقهور,1
3242,ma3netha,معنتها,1
3243,than,تهان,1
3244,fo9,فوق,1
3245,ywaliw,يوليو,1
3246,3alali,علالي,1
3247,faouzi,فوزي,1
3248,rejel,راجل,1
3249,famach,فماش,1
3250,kalib,كلب,1
3251,belna,بالنا,1
3252,tfi9,تفيق,1
3253,3inina,عينينا,1
3254,chma3neha,شمعناها,1
3255,3arka,عركة,1
3256,7achek,حاشاك,1
3257,e5i,اخي,1
3258,sket,سكت,1
3259,ente,انت,1
3260,karama,كرامة,1
3261,msaken,مساكن,1
3262,flousk,فلوسك,1
3263,4alta,غلطة,1
3264,ta3wi,تعوي,1
3265,thiz,تهز,1
3266,b9it,بقيت,1
3267,barbi,بربي,1
3268,mrakba,مركبة,1
3269,3aycha,عايشة,1
3270,9rouda,قرودة,1
3271,mazeltou,مازلتو,1
3272,mas3oud,مسعود,1
3273,fihoum,فيهم,1
3274,termet,ترمت,1
3275,ejaya,الجاية,1
3276,mostfa,مصطفى,1
3277,7oriya,حرية,1
3278,a7wel,احوال,1
3279,yama,ياما,1
3280,l3a9ba,لعقبة,1
3281,yekhdmou,يخدمو,1
3282,chkun,شكون,1
3283,bagra,بقرة,1
3284,sale7,صالح,1
3285,bdew,بداو,1
3286,weni,واني,1
3287,khalil,خليل,1
3288,yarhamou,يرحمو,1
3289,3aleli,علالي,1
3290,la5bar,لاخبار,1
3291,tefha,تافهة,1
3292,bnaya,بنية,1
3293,talvza,تلفزة,1
3294,chrifa,شريفة,1
3295,tfarajt,تفرجت,1
3296,8alia,غالية,1
3297,ysa7a7,يصحح,1
3298,hawel,حاول,1
3299,ejay,الجاي,1
3300,tasla7,تصلح,1
3301,saib,سيب,1
3302,moda,مدة,1
3303,martek,مرتك,1
3304,ya7mi,يحمي,1
3305,wsel,وصل,1
3306,le3ba,لعبة,1
3307,sade9,صادق,1
3308,9odam,قدام,1
3309,saref,صارف,1
3310,93adt,قعدت,1
3311,nchoufouk,نشوفو,1
3312,7leybi,حلايبي,1
3313,3loulou,علولو,1
3314,ghirek,غيرك,1
3315,tfata9,تفتق,1
3316,9albou,قلبو,1
3317,whowa,وهوا,1
3318,marhba,مرحبا,1
3319,jafour,جعفور,1
3320,mezwed,مزود,1
3321,nasm3ou,نسمعو,1
3322,charaf,شرف,1
3323,en7eb,انحب,1
3324,kaka,كاكا,1
3325,filastin,فلسطين,1
3326,fine,فين,1
3327,zouk,زك,1
3328,nshlh,نشاله,1
3329,bir,بير,1
3330,ma3mel,معمل,1
3331,tma3,طمع,1
3332,etwali,اتولي,1
3333,hika,هكا,1
3334,irajel,الراجل,1
3335,maken,مساكن,1
3336,fom,فم,1
3337,y7el,يحل,1
3338,lahram,لحرام,1
3339,3idik,عيدك,1
3340,fawdha,فوضة,1
3341,mamstou,ممصتو,1
3342,8aleb,غالب,1
3343,slimani,سليماني,1
3344,madama,مادام,1
3345,hal9a,حلقة,1
3346,9lil,قليل,1
3347,naref,نعرف,1
3348,3ayeltek,عايلتك,1
3349,riadh,رياض,1
3350,yefhmou,يفهمو,1
3351,rami,رامي,1
3352,rou7a,روحها,1
3353,lmedeb,لمدمب,1
3354,wina3mou,وينعمو,1
3355,3zizti,عزيزتي,1
3356,ma3andich,معنديش,1
3357,erhab,ارهاب,1
3358,ataque,ا,1
3359,ywasel,يوصل,1
3360,hakaka,هكاكا,1
3361,berabi,بربي,1
3362,kharej,خارج,1
3363,y5ali,يخلي,1
3364,jehel,جاهل,1
3365,mouwaten,مواطن,1
3366,sarah,سارة,1
3367,grib,قريب,1
3368,ramadan,رمضان,1
3369,lehin,لحنين,1
3370,nmoutou,نموتو,1
3371,rad,رد,1
3372,belkom,بالكم,1
3373,mojtama3,مجتمع,1
3374,botox,بوتوكس,1
3375,la7dha,لحضة,1
3376,ma3ek,ماعك,1
3377,jouaret,جورات,1
3378,b3adhom,بعضهم,1
3379,l8alya,لغالية,1
3380,wnes,والناس,1
3381,tesma3,تسمع,1
3382,lekbar,لكبار,1
3383,ghrab,غراب,1
3384,hasra,حسرة,1
3385,y9olek,يقلك,1
3386,yjiw,يجيو,1
3387,etounisia,التونسية,1
3388,hadra,هدرة,1
3389,5ouna,خونا,1
3390,mahboula,مهبولة,1
3391,sonia,سنية,1
3392,zatla,زطلة,1
3393,titrouwet,تيتروات,1
3394,thawadi,ذوادي,1
3395,chekoun,شكون,1
3396,njibo,نجيبو,1
3397,bahri,بحري,1
3398,ydez,يدز,1
3399,ynabrou,ينبرو,1
3400,t7b,تحب,1
3401,rakoum,راكم,1
3402,a3tih,اعطيه,1
3403,maktoub,مكتوب,1
3404,9adekch,قداكش,1
3405,7ayawen,حيوان,1
3406,fthaya7,فضايح,1
3407,tawra,ثورة,1
3408,7awla,حول,1
3409,ybaki,يبكي,1
3410,etelha,اتلها,1
3411,5atik,خاطيك,1
3412,t5arej,تخرج,1
3413,khayba,خايبة,1
3414,tal9ah,تلقاه,1
3415,3amek,عامك,1
3416,b3athha,بعثها,1
3417,5orda,خردة,1
3418,akhi,اخي,1
3419,housem,حسام,1
3420,kedhba,كذبة,1
3421,nechala,انشاءالله,1
3422,nidham,نظام,1
3423,7dith,حديث,1
3424,ri7a,ريحة,1
3425,wa7adha,وحدها,1
3426,t7inek,طحينك,1
3427,7out,حوت,1
3428,emin,امين,1
3429,jam3ietna,جمعيتنا,1
3430,7eja,حاجة,1
3431,wouh,وه,1
3432,las3ad,لسعد,1
3433,n3ich,نعيش,1
3434,wm3a,ومعا,1
3435,sourya,سوريا,1
3436,slayem,سليم,1
3437,elkalb,الكلب,1
3438,imout,يموت,1
3439,el3am,لمعلم,1
3440,malim,معلم,1
3441,akhtana,اخطانا,1
3442,ahhh,اههه,1
3443,yechfiha,يشفيها,1
3444,ytab3ou,يتبعو,1
3445,arbi,عربي,1
3446,5ouk,خوك,1
3447,lwa9t,لوقت,1
3448,cha3biya,شعبية,1
3449,esolta,السلطة,1
3450,jahil,جاهل,1
3451,fesda,فاسدة,1
3452,mahomech,ماهمش,1
3453,nakrah,نكره,1
3454,ha3,هاع,1
3455,rabie,ربيع,1
3456,bentou,بنتو,1
3457,koursi,كرسي,1
3458,karma,كرمة,1
3459,yseb,يسب,1
3460,mritha,مريضة,1
3461,sayebha,سيبها,1
3462,3ez,عز,1
3463,jayin,جايين,1
3464,7aseb,حاسب,1
3465,te7seb,تحسب,1
3466,ydour,يدور,1
3467,hlouwa,حلوة,1
3468,kofar,كفار,1
3469,tga3ed,تقعد,1
3470,sre9,سارق,1
3471,tnekna,تنكنا,1
3472,4odwa,غدوة,1
3473,yostrek,يسترك,1
3474,yestehel,يستاهل,1
3475,ykeb,يكب,1
3476,3alamia,عالمية,1
3477,mou3ardha,معارضة,1
3478,khamja,خامجة,1
3479,romdhan,رمضان,1
3480,anaba,عنابة,1
3481,9dima,قديمة,1
3482,jdide,جديد,1
3483,choufo,شوفو,1
3484,hazha,هزها,1
3485,khalihom,خليكم,1
3486,hathom,هاذم,1
3487,erasmi,الرسمي,1
3488,enajem,انجم,1
3489,wedhni,وذني,1
3490,soura,صورة,1
3491,tnajm,تنجم,1
3492,yest7a9,يستحق,1
3493,finou,فينو,1
3494,yekteb,يكتب,1
3495,karoui,قروي,1
3496,kartha,كارثة,1
3497,tah,طاح,1
3498,9ol,قول,1
3499,far8a,فارغة,1
3500,t9ol,تقول,1
3501,5awla,خولة,1
3502,al3ab,العب,1
3503,mezyana,مزيانة,1
3504,yonsrik,ينصرك,1
3505,inek,ينيك,1
3506,elibiya,الليبية,1
3507,sma3tha,سمعتها,1
3508,rina,رينا,1
3509,tarji,ترجي,1
3510,lhak,لحق,1
3511,dinia,دنيا,1
3512,7eb,حب,1
3513,jitou,جيتو,1
3514,krasi,كراسي,1
3515,lkleb,لكلاب,1
3516,kount,كنت,1
3517,t9adem,تقدم,1
3518,intikhabet,انتخابات,1
3519,yeli,يالي,1
3520,y3ichou,يعيشو,1
3521,rih,ريح,1
3522,mta3e,متاع,1
3523,inahdha,النهضة,1
3524,teb9a,تبقى,1
3525,rwehkom,رواحكم,1
3526,hethy,هاذي,1
3527,a3likom,عليكم,1
3528,9ais,قيس,1
3529,ljam3iya,لجمعية,1
3530,nokta,نكتة,1
3531,tawla,طاولة,1
3532,la7dith,لحديث,1
3533,jaloul,جلول,1
3534,titrouet,تيتروات,1
3535,daraji,دراجي,1
3536,hadika,هاذيكا,1
3537,njib,نجيب,1
3538,tsayeb,تسيب,1
3539,ro7ha,روحها,1
3540,wdima,وديما,1
3541,wale,ولا,1
3542,hazina,هزينا,1
3543,menak,منك,1
3544,jamhour,جمهور,1
3545,rkhis,رخيص,1
3546,zaki,زاكي,1
3547,ykawrou,يكورو,1
3548,binzart,بنزرت,1
3549,ola,اولا,1
3550,3ama,عامة,1
3551,7adher,حاضر,1
3552,halbled,هالبلاد,1
3553,hena,هانا,1
3554,enedi,النادي,1
3555,nkolek,نقلك,1
3556,na7nou,نحن,1
3557,metet,ماتت,1
3558,fekret,فكرة,1
3559,kolchay,كلشي,1
3560,theni,ثاني,1
3561,5al9,خلق,1
3562,l7al,لحال,1
3563,trab,طرب,1
3564,yba9i,يبقي,1
3565,tal3a,طلعة,1
3566,rwa7na,رواحنا,1
3567,mademek,مادامك,1
3568,3aks,عكس,1
3569,hezou,هزو,1
3570,9asba,قصبة,1
3571,chadou,شدو,1
3572,eji,يجي,1
3573,tefah,تافه,1
3574,kaboul,كبول,1
3575,hizb,حزب,1
3576,thi9etna,ثقتنا,1
3577,hethe,هاذا,1
3578,hamem,حمام,1
3579,marbo7a,مربوحة,1
3580,mestir,مستير,1
3581,hawa,هواء,1
3582,ymchi,يمشي,1
3583,sma3na,سمعنا,1
3584,masi5,مسخ,1
3585,glayeb,قليب,1
3586,ma9al,مقال,1
3587,5as,خاص,1
3588,telbes,تلبس,1
3589,mzia,مزية,1
3590,jemhour,جمهور,1
3591,achraf,اشرف,1
3592,mar7ba,مرحبا,1
3593,ab9a,ابقى,1
3594,wertani,ورتاني,1
3595,hathouma,هاذوما,1
3596,is7i7,الصحيح,1
3597,bidi,بيدي,1
3598,t7esou,تحسو,1
3599,entoma,انتوما,1
3600,kifha,كيفها,1
3601,3os,عص,1
3602,rasik,راسك,1
3603,yahdina,يهدينا,1
3604,klamou,كلامو,1
3605,lbs,لبس,1
3606,tnabrou,تنبرو,1
3607,yonsorna,ينصرنا,1
3608,khatrek,خاترك,1
3609,intidabet,انتدبات,1
3610,fele5er,فاللخر,1
3611,fibeli,فيبالي,1
3612,a7deth,احداث,1
3613,rajli,راجلي,1
3614,gaz,غاز,1
3615,tfadlik,تفدلك,1
3616,93adna,قعدنا,1
3617,nharet,نهارت,1
3618,hadak,هاذاك,1
3619,3awnou,عاونو,1
3620,lebhim,لبهيم,1
3621,fa9o,فاقو,1
3622,kamal,كمال,1
3623,anes,الناس,1
3624,kidhb,كذب,1
3625,ri7et,ريحت,1
3626,tetbadel,تتبدل,1
3627,ka3bet,كعبات,1
3628,asma3ni,اسمعني,1
3629,mathabina,مذبينا,1
3630,kalbi,قلبي,1
3631,naja7,نجاح,1
3632,3aychek,عيشك,1
3633,ghnaya,غناية,1
3634,elbeji,الباجي,1
3635,3lch,علاش,1
3636,lima,لما,1
3637,mimtak,ميمتك,1
3638,wledha,ولادها,1
3639,seket,ساكت,1
3640,khidma,خدمة,1
3641,t3ebna,تعبنا,1
3642,rabek,ربك,1
3643,fasad,فساد,1
3644,masab,مصاب,1
3645,m3eh,معاه,1
3646,8irou,غيرو,1
3647,idir,يدير,1
3648,t7es,تحس,1
3649,yamlou,يعملو,1
3650,ridha,رضا,1
3651,far7a,فرحة,1
3652,7achetna,حاشتنا,1
3653,hadad,حداد,1
3654,a3bed,اعباد,1
3655,ta7chou,تحشو,1
3656,syasa,سياسة,1
3657,ma7kma,محكمة,1
3658,bka,بكى,1
3659,hahahahahah,هاهاهاهاهاهاه,1
3660,yah,يح,1
3661,wahef,وهف,1
3662,edenia,الدنيا,1
3663,l3ada,لعادة,1
3664,9ablou,قلبو,1
3665,nakrhou,نكرهو,1
3666,3endou,عندو,1
3667,miselech,ميسالش,1
3668,keml,كامل,1
3669,khayef,خايف,1
3670,jebtou,جبتو,1
3671,yarhemha,يرحمها,1
3672,yahmi,يحمي,1
3673,we7na,واحنا,1
3674,mouhem,مهم,1
3675,yehlekhom,يهلكهم,1
3676,rask,راسك,1
3677,hamdoula,الحمدلله,1
3678,mafamach,مفماش,1
3679,galo,قالو,1
3680,yahkiw,يحكيو,1
3681,choftou,شفتو,1
3682,yomken,يمكن,1
3683,test7a9,تستحق,1
3684,ga3,قاع,1
3685,wa7dk,وحدك,1
3686,la7leybi,لحلايبي,1
3687,london,لندن,1
3688,fihem,فيهم,1
3689,kesa7,كاسح,1
3690,okhti,اختي,1
3691,marzen,مرزن,1
3692,esne,السنة,1
3693,lela,للا,1
3694,9orbi,قربي,1
3695,yar7emha,يرحمها,1
3696,la3sa,لعصا,1
3697,9tal,قتل,1
3698,ando,عندو,1
3699,hazen,هزان,1
3700,esmek,اسمك,1
3701,sou9,سوق,1
3702,layam,الايام,1
3703,jabha,جابها,1
3704,irya7i,الرياحي,1
3705,elkolna,لكنا,1
3706,inas,الناس,1
3707,dhaw,الضو,1
3708,yhib,يحب,1
3709,yar7emhom,يرحمهم,1
3710,elmarzouki,المرزوقي,1
3711,hsan,حسن,1
3712,berjelha,برجالها,1
3713,9arwi,قروي,1
3714,yabta,يبطى,1
3715,chouhada,شهداء,1
3716,3tak,عطاك,1
3717,ychedha,يشدها,1
3718,nefzi,نفزي,1
3719,far7an,فرحان,1
3720,fahmin,فاهمين,1
3721,ta5ralou,تخرالو,1
3722,ybareklek,يباركلك,1
3723,sadakni,صدقني,1
3724,doura,دروة,1
3725,a7sin,احسن,1
3726,tlawjou,تلوجو,1
3727,ihanikom,ينيكم,1
3728,iwaf9ik,يوفق,1
3729,mathlouthi,مثلوثي,1
3730,efhem,افهم,1
3731,andk,عندك,1
3732,nida2,نداء,1
3733,loun,لون,1
3734,yzidek,يزيدك,1
3735,raes,رئيس,1
3736,3endek,عندك,1
3737,jibt,جبت,1
3738,nal9a,نلقى,1
3739,jbal,جبل,1
3740,echay,الشيئ,1
3741,sil3a,سلعة,1
3742,khyt,خيت,1
3743,liclub,لكلوب,1
3744,belhom,بالهم,1
3745,ritha,ريتها,1
3746,t3ichou,تعيشو,1
3747,fma,فما,1
3748,wkif,وكيف,1
3749,yostorna,يسترنا,1
3750,sa9et,ساقط,1
3751,tna7i,تنحي,1
3752,sahla,صالحة,1
3753,habou,حبو,1
3754,7lou,حلو,1
3755,ynajim,ينجم,1
3756,bhama,بهامة,1
3757,edine,الدين,1
3758,nhebo,نحبو,1
3759,chba3na,شبعنا,1
3760,haythem,هيثم,1
3761,atamana,اتمنا,1
3762,l7al9a,لحلقة,1
3763,soutou,صوتو,1
3764,yedou,يدو,1
3765,kounou,كونو,1
3766,fal,فال,1
3767,lham,لهم,1
3768,9wey,قوي,1
3769,ramz,رمز,1
3770,roho,روحو,1
3771,met7ayel,متحيل,1
3772,wald,ولد,1
3773,erachwa,الرشوة,1
3774,3a9lia,عقلية,1
3775,yod5el,يدخل,1
3776,eb3ed,ابعد,1
3777,kifak,كيفك,1
3778,famechi,فماشي,1
3779,7asb,حسب,1
3780,tod5el,تدخل,1
3781,ezah,الزح,1
3782,khatr,خاتر,1
3783,3indi,عندي,1
3784,dji,تجي,1
3785,la7es,لحاس,1
3786,khalih,خليه,1
3787,yosref,يصرف,1
3788,mkch,مكش,1
3789,ghana,غانا,1
3790,welet,ولات,1
3791,trab7ek,تربحك,1
3792,barlamen,برلمان,1
3793,may7ebouch,ميحبوش,1
3794,ihebou,يحبو,1
3795,tektheb,تكذب,1
3796,flouso,فوسو,1
3797,yemchiw,يمشيو,1
3798,5atro,خاطرو,1
3799,ma3anech,معناش,1
3800,fehmin,فاهمين,1
3801,5outh,خوذ,1
3802,etkoun,اتكون,1
3803,khouh,خوه,1
3804,a9reb,اقرب,1
3805,zmen,زمان,1
3806,5edmet,خدمت,1
3807,chahed,شاهد,1
3808,keka,كاكا,1
3809,3andouch,عندوش,1
3810,fitna,فتنة,1
3811,tekdhbou,تكذبو,1
3812,m3athabhom,معذبهم,1
3813,drapeau,درابو,1
3814,majdi,مجدي,1
3815,haram,حرام,1
3816,chebeb,شباب,1
3817,saraha,صراحة,1
3818,tal3ib,تلعب,1
3819,yetla3,يطلع,1
3820,ya5dem,يخدم,1
3821,bachoula,بشولة,1
3822,kanek,كانك,1
3823,hazit,هزيت,1
3824,salemi,سلامي,1
3825,3asla,عسلة,1
3826,7izb,حزب,1
3827,bourjouleya,برجولية,1
3828,3ndi,عندي,1
3829,daber,دبر,1
3830,fer8a,فارغة,1
3831,lihoud,ليهود,1
3832,raykom,رايكم,1
3833,brbi,بربي,1
3834,wsayeb,وسيب,1
3835,e5ir,اخر,1
3836,zbela,زبلة,1
3837,torbya,تربية,1
3838,sayidi,سيدي,1
3839,9am,قام,1
3840,tounseya,تونسية,1
3841,hatou,حاطو,1
3842,ya7chi,يحشي,1
3843,t5adem,تخدم,1
3844,mfach5a,مفشخة,1
3845,ya7kou,يحكو,1
3846,mousi,موسي,1
3847,mskin,مسكين,1
3848,bkolhom,بكلهم,1
3849,entidabet,انتدبات,1
3850,a3lem,اعلم,1
3851,yehdina,يهدينا,1
3852,9dim,قديمة,1
3853,mas2oulin,مسؤلين,1
3854,yara7mo,يرحمو,1
3855,wmen,ومن,1
3856,jomla,جملة,1
3857,9hab,قحاب,1
3858,raies,رئيس,1
3859,zitouni,زيتوني,1
3860,belhak,بلحق,1
3861,yonser,ينصر,1
3862,fima,فما,1
3863,thahra,ظاهرة,1
3864,omour,امورو,1
3865,mabrouka,مبروكة,1
3866,yfadhlek,يفضلك,1
3867,sa3dek,سعدك,1
3868,mizyena,مزيانة,1
3869,tanja7,تنجح,1
3870,msatek,مصتك,1
3871,mnawra,منورة,1
3872,l9odem,لقدام,1
3873,7kit,حكيت,1
3874,5alouna,خلونا,1
3875,zedet,زدت,1
3876,bejbouj,بجبوج,1
3877,sayd,سيد,1
3878,mahsoub,محسوب,1
3879,yosra,يسرى,1
3880,yachfiha,يشفيها,1
3881,wafi,وافي,1
3882,nechalah,انشاءالله,1
3883,chaba,شابة,1
3884,fe3el,فعل,1
3885,samsara,سمسارة,1
3886,la7nina,لحنينة,1
3887,dayra,دايرة,1
3888,khales,خالص,1
3889,ma3andi,معندي,1
3890,thabli,تهبلي,1
3891,yhezou,يهزو,1
3892,wras,وراس,1
3893,3achet,عاشت,1
3894,okra,اخرى,1
3895,3ndk,عندك,1
3896,ytawel,يطول,1
3897,tnajam,ينجم,1
3898,ayamet,ايامات,1
3899,yekhy,ياخي,1
3900,tsayer,تسير,1
3901,la5er,لاخر,1
3902,ka3ed,قاعد,1
3903,sorek,سراق,1
3904,floushom,فلوسهم,1
3905,hamouda,حمودة,1
3906,jedid,جديد,1
3907,9a3dou,قعدو,1
3908,siwa,سوا,1
3909,al9ab,القاب,1
3910,kileb,كلاب,1
3911,3amin,عامين,1
3912,bilhi,بلاهي,1
3913,jafar,جعفر,1
3914,hezeb,حزب,1
3915,zidna,زدنا,1
3916,fouk,فوق,1
3917,lkelma,لكلمة,1
3918,nal9aw,نلقاو,1
3919,nikom,نيكم,1
3920,twil,طويل,1
3921,tardouh,طردوه,1
3922,yaref,يعرف,1
3923,feragh,فارغ,1
3924,aflam,افلام,1
3925,kol3am,كل عام,1
3926,4ir,غير,1
3927,mino,منو,1
3928,marti,مرتي,1
3929,manouba,منوبة,1
3930,n7b,نحب,1
3931,t3almou,تعلمو,1
3932,kamlou,كملو,1
3933,3sa,عصا,1
3934,9atous,قطوس,1
3935,ynayek,ينيك,1
3936,leklab,لكلاب,1
3937,esbab,السبب,1
3938,rays,رئيس,1
3939,ames,امس,1
3940,3icha,عيشة,1
3941,grinta,قرينتة,1
3942,mnine,منين,1
3943,d3a,دعا,1
3944,montaser,منتصر,1
3945,bhi,باهي,1
3946,ya7fdhek,يحفضك,1
3947,mrida,مريضة,1
3948,rjoulia,رجولية,1
3949,matloub,مطلوب,1
3950,3adel,عادل,1
3951,5aterhom,خاترهم,1
3952,dawlet,دولة,1
3953,touslou,توصلو,1
3954,eta7an,الطحان,1
3955,belk,بالك,1
3956,malhet,ملهط,1
3957,y9oli,يقلي,1
3958,batil,بطل,1
3959,ma3malt,معملت,1
3960,mabin,مبن,1
3961,taraf,طرف,1
3962,telhelna,تلهلنا,1
3963,chikha,شيخة,1
3964,3isaba,عصابة,1
3965,haykel,هيكل,1
3966,bine,بين,1
3967,sidik,سيدك,1
3968,b3adhhom,بعضهم,1
3969,lkorsi,لكرسي,1
3970,esiasa,السياسة,1
3971,a3da,اعداء,1
3972,b3adha,بعضها,1
3973,ya5ou,يخاو,1
3974,sidou,سيدو,1
3975,wlayed,ولايد,1
3976,lasmer,لاسمر,1
3977,yo5roj,يخرج,1
3978,tefhmou,تفهمو,1
3979,3melt,عملت,1
3980,hezb,حزب,1
3981,bank,بنك,1
3982,dime,ديما,1
3983,t5ales,تخلص,1
3984,ynawer,ينور,1
3985,lemhaf,لمهف,1
3986,walat,ولات,1
3987,jem3ia,جمعية,1
3988,to9tol,تقتل,1
3989,lahwa,لهوة,1
3990,rijal,راجل,1
3991,ta3lim,تعليم,1
3992,b3ida,بعيدة,1
3993,5sartek,خسارتك,1
3994,atheka,هاذاكا,1
3995,petrol,بترول,1
3996,azyen,ازين,1
3997,machalh,مشاالله,1
3998,wjomhour,وجوهم,1
3999,hadouma,هذوما,1
4000,da3ara,دعارة,1
4001,jou3,جوع,1
4002,zay,زي,1
4003,o5tek,اختك,1
4004,lm3alem,لمعلم,1
4005,sam7ouni,سامحوني,1
4006,farouk,فاروق,1
4007,ta7ane,طحان,1
4008,t3alem,تعلم,1
4009,3alihom,عليهم,1
4010,bkolou,بكلو,1
4011,jaben,جبان,1
4012,choufli,شوفلي,1
4013,da5l,داخل,1
4014,la3zouza,لعزوزة,1
4015,kenit,كانت,1
4016,yal3ib,يلعب,1
4017,lelahi,للاهي,1
4018,a5ir,اخير,1
4019,tbiba,طبيبة,1
4020,nmot,نموت,1
4021,hosni,حسني,1
4022,yeklou,ياكلو,1
4023,talab,طلب,1
4024,ihez,يهز,1
4025,yarahmo,يرحمو,1
4026,5ebra,خبرة,1
4027,hethika,هذيكا,1
4028,makan,مكان,1
4029,ya3tihom,يعطيهم,1
4030,ma3andek,معندك,1
4031,sabrin,صبرين,1
4032,gasrine,قصرين,1
4033,trod,ترد,1
4034,ghneyet,غناية,1
4035,blastik,بلاصتك,1
4036,m3amel,معامل,1
4037,fhemtech,فهمتش,1
4038,jmi3,جميع,1
4039,sari9,سارق,1
4040,fha,فيها,1
4041,jadara,جدارة,1
4042,twila,طويلة,1
4043,lwa7id,لوحيد,1
4044,chwia,شوية,1
4045,sa9ih,سقيه,1
4046,y7ebo,يحبو,1
4047,t9olou,يقولو,1
4048,wjouhom,وجوهكم,1
4049,ndif,نظيف,1
4050,n7bou,نحبو,1
4051,wchouf,وشوف,1
4052,jayeb,جايب,1
4053,khamej,خامج,1
4054,enafti,النفطي,1
4055,sghira,صغيرة,1
4056,borjouleya,برجولية,1
4057,rohk,روحك,1
4058,ksar,قصر,1
4059,nebniw,نبنيو,1
4060,ylawej,يلوج,1
4061,mousiba,مصيبة,1
4062,wajdi,وجدي,1
4063,matou,ماتو,1
4064,siyasiya,سياسية,1
4065,taht,تحت,1
4066,wsa5,وسخ,1
4067,belf,بالف,1
4068,5ayr,خير,1
4069,ti5dim,تخدم,1
4070,itwensa,التوانسة,1
4071,7es,حس,1
4072,rwahkom,رواحكم,1
4073,ta2sisi,تاسيسي,1
4074,seliana,سليانة,1
4075,tata,تاتا,1
4076,sara7a,صراحة,1
4077,nechri,نشري,1
4078,romdhanek,رمضان,1
4079,lmarzou9i,لمرزوقي,1
4080,yezikom,يزيكم,1
4081,may7ebech,ميحبش,1
4082,hahahahahaha,هاهاهاهاهاها,1
4083,a3liha,عليها,1
4084,3raf,عرف,1
4085,tosref,تصرف,1
4086,torbia,تربية,1
4087,sab,صب,1
4088,yezou,يزو,1
4089,5arjet,خرجت,1
4090,nawi,ناوي,1
4091,chofo,شوفو,1
4092,feya,فيا,1
4093,yokhrej,يخرج,1
4094,barnamij,برنامج,1
4095,khalit,خليت,1
4096,hadou,هدو,1
4097,wahlek,وحلك,1
4098,nemchiw,نمشيو,1
4099,kano,كانو,1
4100,7lib,حليب,1
4101,elghalya,الغالية,1
4102,wmala,ومالا,1
4103,ma3andha,معندها,1
4104,petrole,بترول,1
4105,lana,لانا,1
4106,ya3tk,يعطيك,1
4107,3arfa,عرفة,1
4108,a3mlo,اعملو,1
4109,fasda,فاسدة,1
4110,rake,راك,1
4111,ahlo,اهلو,1
4112,internet,انترنت,1
4113,kedeb,كذب,1
4114,tha9afa,ثقافة,1
4115,ini,اني,1
4116,7awlou,حاولو,1
4117,omet,امة,1
4118,banour,بنور,1
4119,9rit,قريت,1
4120,alwakil,الوكيل,1
4121,tahhan,طحان,1
4122,tabe3,تابع,1
4123,entoum,انتم,1
4124,7asbouna,حسبنا,1
4125,wahad,واحد,1
4126,kaies,قيس,1
4127,te3mel,تعمل,1
4128,z3ayem,زعيم,1
4129,tasjil,تسجيل,1
4130,majd,مجد,1
4131,da5lou,دخلو,1
4132,galia,غالية,1
4133,ma7lk,محلاك,1
4134,9atlou,قتلو,1
4135,ga3ed,قاعد,1
4136,hazou,هزو,1
4137,israel,اسرائيل,1
4138,7abet,حبت,1
4139,jebtha,جبتها,1
4140,elbara,البرا,1
4141,sada9,صدق,1
4142,5obza,خبزة,1
4143,iti7ad,اتحاد,1
4144,ahzeb,احزاب,1
4145,ma3koul,معقول,1
4146,mo5i,مخي,1
4147,zayd,زايد,1
4148,mzali,مزالي,1
4149,raouf,رؤوف,1
